loan_id,customer_id,branch_id,raw_loan_status,loan_purpose,local_currency,loan_amount_local,loan_amount_usd,interest_rate_pct,tenure_months,amount_repaid_local,outstanding_balance,raw_disbursement_date,raw_maturity_date
37,612,110,FULLY PAID,Personal Loan,ZAR,14714069.47,809273.82,23.95,36,6321877.96,8392191.51,2022-12-03,04-Apr-2027
38,1531,104,active,Education Finance,NGN,14047675.02,8709.56,23.53,24,10520073.11,3527601.91,27-May-2020,04/07/2026
39,1210,111,RESTRUCTURED,Agricultural Loan,ZAR,18659853.12,1026291.92,16.54,12,10978263.47,7681589.65,01-May-2021,08/05/2024
40,174,105,Fully Paid,Personal Loan,NGN,16406248.75,10171.87,20.02,18,9782248.46,6624000.29,02/05/2021,2026-11-20
41,1636,111, Active ,SME Working Capital,ZAR,19218030.87,1056991.7,21.4,36,4480694.39,14737336.48,26/09/2021,01/06/2023
42,1960,101, Active ,Asset Finance,NGN,730008.03,452.6,20.51,48,581898.12,148109.91,2020-12-02,2023-04-16
43,480,114,FULLY PAID,Agricultural Loan,AED,503743.0,137018.1,22.07,18,131356.41,372386.59,11-Mar-2023,13/08/2023
44,1827,107,PENDING REVIEW,SME Working Capital,GHS,5560930.2,367021.39,24.29,18,1868462.05,3692468.15,07/05/2022,2026-11-06
45,1760,114,ACTIVE,Personal Loan,AED,1436752.88,390796.78,19.46,36,604470.99,832281.89,01/18/2021,2024-12-09
46,301,109,Fully Paid,Agricultural Loan,KES,9803838.76,75489.56,22.57,24,1029687.29,8774151.47,2021-08-02,10/10/2023
47,1082,104,ACTIVE,Asset Finance,NGN,17798096.72,11034.82,11.01,60,3801523.0,13996573.72,07/08/2024,07/22/2027
48,1126,111,pending review,Auto Loan,ZAR,15144737.2,832960.55,4.89,18,2843300.47,12301436.73,03/04/2023,19-Nov-2023
49,1055,114,FULLY PAID,Personal Loan,AED,839682.01,228393.51,6.92,12,338738.11,500943.9,22/03/2024,2027-09-28
50,1163,112,approved,Agricultural Loan,GBP,4829210.64,6133097.51,5.41,48,2965223.67,1863986.97,26/01/2023,2024-03-02
51,1078,109,APPROVED,Mortgage,KES,5992875.95,46145.14,10.73,18,52196.56,5940679.39,06/23/2024,03/23/2024
52,549,103,PENDING REVIEW,Trade Finance / Import,NGN,7796493.88,4833.83,8.59,36,2952895.2,4843598.68,30-Nov-2020,14-Apr-2023
53,888,114,written off,SME Working Capital,AED,4544919.27,1236218.04,19.6,36,230706.85,4314212.42,2023-08-26,28/07/2025
54,1343,115,RESTRUCTURED,Education Finance,USD,4869501.49,4869501.49,25.83,12,4313052.42,556449.07,14-Mar-2023,12/01/2027
55,343,106,defaulted,Auto Loan,GHS,2540843.37,167695.66,25.03,36,701481.2,1839362.17,2023-09-13,03/06/2024
56,546,101,active,Auto Loan,NGN,11271233.46,6988.16,17.41,48,9938626.3,1332607.16,2020-11-14,20/10/2024
57,258,109,active,Personal Loan,KES,4733996.82,36451.78,21.72,18,95102.12,4638894.7,13-Jan-2023,12/15/2027
58,702,103,DEFAULTED,Mortgage,NGN,8855778.66,5490.58,16.38,6,3885109.49,4970669.17,16-Jun-2020,2024-03-19
59,1205,103,fully paid,Trade Finance / Import,NGN,8065961.28,5000.9,5.55,18,6381568.16,1684393.12,06/24/2020,09-Feb-2025
60,1620,115,approved,SME Working Capital,USD,14412313.72,14412313.72,26.34,48,11127922.21,3284391.51,2023-03-28,2025-05-19
61,105,114,defaulted,Mortgage,AED,17619143.94,4792407.15,20.44,18,9443467.59,8175676.35,2022-01-26,11/30/2026
62,993,115,active,Personal Loan,USD,19496919.98,19496919.98,22.84,48,7986569.0,11510350.98,11/29/2023,06/01/2025
63,1018,108,restructured,Trade Finance / Import,KES,18628256.33,143437.57,27.88,48,7013661.7,11614594.63,24/08/2022,2024-01-06
64,1354,106,restructured,Personal Loan,GHS,5851044.08,386168.91,23.36,18,5496707.12,354336.96,2024-06-18,18/03/2023
65,679,115,FULLY PAID,Auto Loan,USD,12498802.55,12498802.55,16.47,24,3523656.01,8975146.54,30-Aug-2023,12/07/2027
66,1712,109,fully paid,Trade Finance / Import,KES,12996205.31,100070.78,20.12,24,3722615.42,9273589.89,06-Jan-2022,29-Jan-2024
67,1024,105,defaulted,Mortgage,NGN,705226.37,437.24,14.06,24,566135.88,139090.49,10-Jul-2022,12/02/2023
68,819,108,fully paid,Mortgage,KES,17887374.59,137732.78,23.77,6,14748442.91,3138931.68,2020-12-13,26/10/2023
69,1828,109,WRITTEN OFF,Personal Loan,KES,3355056.97,25833.94,12.48,60,2756446.17,598610.8,09/25/2024,15/04/2027
70,257,113,DEFAULTED,Auto Loan,EUR,6292827.83,6796254.06,16.7,60,3031563.52,3261264.31,17-May-2022,06/11/2025
71,1292,114,defaulted,Trade Finance / Import,AED,13360543.48,3634067.83,10.86,6,9846850.38,3513693.1,2022-07-26,31-May-2025
72,1094,114,APPROVED,Auto Loan,AED,19416092.01,5281177.03,25.7,36,14551903.93,4864188.08,10/03/2021,11/19/2024
73,425,104,ACTIVE,Mortgage,NGN,11941340.22,7403.63,6.0,24,4814968.2,7126372.02,2022-11-01,08/11/2025
74,893,115,Fully Paid,SME Working Capital,USD,9605445.38,9605445.38,17.39,48,4229565.48,5375879.9,2021-10-31,2027-05-05
75,1197,111,fully paid,Personal Loan,ZAR,12484123.03,686626.77,15.68,12,5625279.85,6858843.18,2023-03-30,13-Dec-2025
76,59,103,PENDING REVIEW,SME Working Capital,NGN,1939504.44,1202.49,27.61,24,1149585.94,789918.5,01-Oct-2023,27/09/2024
77,1208,115,FULLY PAID,SME Working Capital,USD,4414750.64,4414750.64,4.53,60,3680276.11,734474.53,31-Jan-2021,09/08/2027
78,1984,115,FULLY PAID,Asset Finance,USD,1632609.48,1632609.48,16.14,48,649740.84,982868.64,10/11/2022,04-Jan-2025
79,281,114,PENDING REVIEW,SME Working Capital,AED,4683170.4,1273822.35,4.13,48,792929.27,3890241.13,2023-03-24,20-Apr-2025
80,1083,115,FULLY PAID,Education Finance,USD,504311.96,504311.96,22.96,60,212592.6,291719.36,22/03/2024,29-Jan-2027
81,169,115,DEFAULTED,Agricultural Loan,USD,2767958.3,2767958.3,17.93,12,1688660.31,1079297.99,2022-04-04,11/29/2027
82,1388,113,PENDING REVIEW,Auto Loan,EUR,965222.59,1042440.4,23.12,12,67816.09,897406.5,15/10/2024,01/12/2024
83,879,114,WRITTEN OFF,Auto Loan,AED,17996669.59,4895094.13,12.35,24,276352.49,17720317.1,2020-07-22,25/03/2023
84,1549,108,DEFAULTED,SME Working Capital,KES,9838024.65,75752.79,9.89,60,1328657.69,8509366.96,20/04/2020,02/21/2026
85,1765,114,active,Education Finance,AED,7395311.91,2011524.84,6.25,18,3806397.58,3588914.33,2022-08-10,04/05/2027
86,1604,108,PENDING REVIEW,Trade Finance / Import,KES,13249078.62,102017.91,9.22,48,11612472.32,1636606.3,09/11/2021,07/11/2025
87,1864,106,DEFAULTED,Mortgage,GHS,16007709.8,1056508.85,16.88,12,11369717.22,4637992.58,2023-10-31,02/10/2027
88,1734,107,active,Agricultural Loan,GHS,6135505.22,404943.34,16.47,36,2752395.47,3383109.75,09/01/2022,01-May-2027
89,220,103,FULLY PAID,Trade Finance / Import,NGN,1961128.15,1215.9,17.31,48,55699.26,1905428.89,17-May-2020,03/16/2026
90,467,105,WRITTEN OFF,Auto Loan,NGN,9468568.22,5870.51,11.91,6,7228834.04,2239734.18,2021-11-23,24-Jun-2027
91,696,103,fully paid,Trade Finance / Import,NGN,965975.1,598.9,7.39,24,909184.0,56791.1,17-Mar-2020,09/12/2027
92,1709,107,FULLY PAID,SME Working Capital,GHS,18858693.69,1244673.78,10.89,60,82140.68,18776553.01,02-May-2021,13/04/2025
93,1647,111,written off,SME Working Capital,ZAR,15527575.0,854016.62,25.26,18,15350779.39,176795.61,2024-10-21,21-Feb-2024
94,1789,115,written off,Auto Loan,USD,17553537.38,17553537.38,25.85,36,14639054.61,2914482.77,07/29/2020,2023-06-14
95,690,114,written off,Asset Finance,AED,5345905.19,1454086.21,11.63,60,245278.88,5100626.31,02/08/2021,19/08/2025
96,158,109,Fully Paid,Personal Loan,KES,13939179.35,107331.68,11.04,48,9339131.77,4600047.58,05-Feb-2024,2023-08-15
97,1373,105, Active ,Auto Loan,NGN,7452609.52,4620.62,23.83,6,2199652.02,5252957.5,26/12/2024,2026-04-23
98,432,109,written off,Asset Finance,KES,1378211.85,10612.23,18.13,60,147128.24,1231083.61,17/06/2024,2027-01-10
99,439,113,PENDING REVIEW,Personal Loan,EUR,528543.24,570826.7,5.43,60,485095.84,43447.4,2024-03-15,06/12/2026
100,168,108,RESTRUCTURED,Auto Loan,KES,18131279.06,139610.85,13.95,24,4078059.95,14053219.11,16-Oct-2023,2024-08-29
101,60,111,written off,Agricultural Loan,ZAR,7772710.13,427499.06,21.14,12,7146915.37,625794.76,16-Sep-2020,21-Feb-2027
102,1647,111,restructured,Personal Loan,ZAR,19972977.1,1098513.74,6.34,12,12497884.77,7475092.33,2023-04-23,03/10/2027
103,20,105, Active ,Agricultural Loan,NGN,9448481.91,5858.06,7.73,60,4158374.88,5290107.03,2020-02-10,22-Sep-2027
104,441,113,approved,Personal Loan,EUR,18830155.69,20336568.15,4.0,12,9712142.99,9118012.7,2024-04-06,11/10/2027
105,376,107,fully paid,Education Finance,GHS,8783222.79,579692.7,4.32,24,3118256.46,5664966.33,08/06/2022,2026-04-20
106,1497,106,restructured,Asset Finance,GHS,5620416.4,370947.48,24.85,48,1633145.16,3987271.24,02/22/2021,2023-04-14
107,90,109,written off,Asset Finance,KES,13706779.53,105542.2,19.47,24,13562351.69,144427.84,2022-06-21,13-Jun-2026
108,1898,111,pending review,Asset Finance,ZAR,5457476.3,300161.2,26.56,6,2536317.27,2921159.03,17-Apr-2024,31/01/2024
109,622,111,active,SME Working Capital,ZAR,459642.34,25280.33,13.69,12,355279.4,104362.94,20-Oct-2021,03/26/2027
110,808,108,fully paid,Education Finance,KES,1698256.41,13076.57,17.24,6,368383.99,1329872.42,08/10/2022,10-Feb-2025
111,1877,105,written off,Agricultural Loan,NGN,9668135.3,5994.24,24.99,12,8774409.58,893725.72,08/19/2023,31/01/2027
112,1297,106,fully paid,Personal Loan,GHS,19031388.73,1256071.66,7.84,12,9586103.89,9445284.84,07/09/2020,28/02/2025
113,1178,103,Fully Paid,Asset Finance,NGN,2232704.32,1384.28,21.23,12,406583.94,1826120.38,16-May-2023,04/05/2026
114,1637,111,approved,Asset Finance,ZAR,11810153.99,649558.47,16.06,36,1509468.13,10300685.86,07-Feb-2022,07/09/2025
115,1221,101,WRITTEN OFF,Personal Loan,NGN,9480296.74,5877.78,18.22,24,1188731.53,8291565.21,07/24/2022,02/28/2027
116,43,113,DEFAULTED,Agricultural Loan,EUR,17651806.37,19063950.88,24.48,24,9764644.4,7887161.97,2022-02-17,10/12/2023
117,1371,114,pending review,Auto Loan,AED,16052041.62,4366155.32,5.6,12,11967084.0,4084957.62,06/25/2021,11/04/2026
118,534,103,APPROVED,Agricultural Loan,NGN,17231239.5,10683.37,19.81,24,2045004.14,15186235.36,2024-11-10,27/07/2027
119,1285,115, Active ,Auto Loan,USD,14548379.99,14548379.99,10.99,6,7136160.58,7412219.41,11/29/2020,02/08/2027
120,424,114,WRITTEN OFF,Agricultural Loan,AED,7678109.39,2088445.75,24.92,6,4932603.57,2745505.82,25/07/2022,2026-10-25
121,890,108,pending review,Mortgage,KES,14240964.89,109655.43,14.03,36,11439179.48,2801785.41,07/24/2021,27-Feb-2026
122,669,107,FULLY PAID,SME Working Capital,GHS,5644110.25,372511.28,27.49,18,2543262.56,3100847.69,2023-08-21,24-Nov-2023
123,1695,111,RESTRUCTURED,Asset Finance,ZAR,9340895.9,513749.27,10.07,60,1465671.79,7875224.11,11/30/2024,10/28/2023
124,1259,101,restructured,Education Finance,NGN,16064533.84,9960.01,16.29,48,4864736.66,11199797.18,11/07/2020,09-Aug-2027
125,304,112, Active ,Education Finance,GBP,17401150.44,22099461.06,4.78,18,2217332.22,15183818.22,11-Feb-2022,16/09/2025
126,584,115,fully paid,Auto Loan,USD,1682815.38,1682815.38,16.01,6,555934.75,1126880.63,03/22/2022,07/09/2023
127,1052,112,ACTIVE,SME Working Capital,GBP,17207649.01,21853714.24,14.35,12,14338320.2,2869328.81,02/10/2020,22/04/2025
128,719,107,PENDING REVIEW,Personal Loan,GHS,7197618.19,475042.8,18.62,60,2447494.84,4750123.35,13/09/2023,25/08/2027
129,607,111,FULLY PAID,Agricultural Loan,ZAR,10532410.28,579282.57,26.11,60,8674270.84,1858139.44,14-Aug-2024,2023-12-19
130,298,107, Active ,Trade Finance / Import,GHS,7705259.97,508547.16,6.74,60,311356.74,7393903.23,05/12/2024,14/06/2027
131,41,115,Fully Paid,Mortgage,USD,11423773.07,11423773.07,11.33,6,2494265.69,8929507.38,02/24/2022,01/18/2024
132,1617,109,pending review,Personal Loan,KES,5115174.1,39386.84,24.98,12,2754620.89,2360553.21,03-Oct-2023,11/11/2023
133,1951,113,FULLY PAID,Personal Loan,EUR,8639815.01,9331000.21,4.37,6,3384659.21,5255155.8,24-Sep-2021,09/27/2026
134,778,113,ACTIVE,Agricultural Loan,EUR,4592242.43,4959621.82,22.66,18,3387025.27,1205217.16,20/12/2022,05-Dec-2025
135,291,102,defaulted,Personal Loan,NGN,5508541.28,3415.3,12.36,60,5161278.06,347263.22,2023-12-03,02/14/2025
136,575,107,written off,Trade Finance / Import,GHS,1283244.65,84694.15,16.02,24,1178280.05,104964.6,27/07/2023,2023-06-19
137,1275,108,FULLY PAID,Mortgage,KES,7915167.37,60946.79,26.73,6,3032646.12,4882521.25,04/03/2020,2023-10-11
138,885,109,PENDING REVIEW,Agricultural Loan,KES,13796710.81,106234.67,10.05,24,8368453.51,5428257.3,2024-03-30,09/10/2024
139,181,102,APPROVED,Asset Finance,NGN,11525186.91,7145.62,4.7,60,3898790.31,7626396.6,2020-11-20,01/02/2027
140,1662,115,APPROVED,Mortgage,USD,18712536.83,18712536.83,23.48,6,8853107.22,9859429.61,08/21/2020,03/10/2027
141,1011,103,RESTRUCTURED,Trade Finance / Import,NGN,12983366.87,8049.69,6.3,36,6040458.16,6942908.71,2020-07-18,07/13/2023
142,106,115,WRITTEN OFF,Education Finance,USD,1004926.59,1004926.59,15.82,6,804534.23,200392.36,05/10/2021,12/15/2025
143,539,102,APPROVED,SME Working Capital,NGN,5443778.37,3375.14,17.01,18,1286716.53,4157061.84,02-Oct-2021,05/18/2026
144,1439,113,PENDING REVIEW,Mortgage,EUR,14542885.35,15706316.18,25.73,60,14222826.45,320058.9,06-Sep-2024,13-Mar-2025
145,1910,101,ACTIVE,Auto Loan,NGN,5560727.16,3447.65,9.31,60,1042403.47,4518323.69,2021-06-05,2024-06-25
146,248,114,active,Agricultural Loan,AED,18577911.64,5053191.97,14.61,48,2207877.44,16370034.2,05/05/2023,01/10/2026
147,886,104,WRITTEN OFF,Mortgage,NGN,13659114.42,8468.65,5.5,24,3774664.48,9884449.94,2021-09-05,2024-10-02
148,537,103,PENDING REVIEW,Mortgage,NGN,13690717.55,8488.24,13.53,60,12518431.85,1172285.7,2021-09-23,26/12/2026
149,1815,101,active,Asset Finance,NGN,17001861.94,10541.15,24.93,6,3588394.1,13413467.84,07/17/2024,05/20/2025
150,1589,111,WRITTEN OFF,Agricultural Loan,ZAR,651076.87,35809.23,11.75,6,427514.95,223561.92,2021-03-06,25-Nov-2024
151,1690,101, Active ,Personal Loan,NGN,6216268.67,3854.09,10.66,48,3634056.98,2582211.69,16/08/2022,02/25/2025
152,1524,110,PENDING REVIEW,SME Working Capital,ZAR,16937743.33,931575.88,15.41,36,16007532.56,930210.77,05/26/2023,31-Oct-2026
153,563,113,pending review,Asset Finance,EUR,12754071.93,13774397.68,18.96,6,6319232.29,6434839.64,2024-06-21,2027-05-26
154,71,101,fully paid,Mortgage,NGN,2044121.95,1267.36,26.15,36,1856841.93,187280.02,02-Aug-2021,12/05/2025
155,1958,114,ACTIVE,Trade Finance / Import,AED,12023590.54,3270416.63,19.45,18,2158278.75,9865311.79,25/03/2024,20/09/2024
156,1846,112,APPROVED,Agricultural Loan,GBP,384490.79,488303.3,12.69,18,310618.2,73872.59,13/11/2024,13-Jul-2025
157,1616,115,RESTRUCTURED,Personal Loan,USD,4900195.39,4900195.39,16.49,60,1579549.68,3320645.71,06/26/2023,04-Oct-2027
158,492,111, Active ,Auto Loan,ZAR,16820821.0,925145.16,21.34,36,5447204.78,11373616.22,19/01/2021,01/10/2026
159,697,111,ACTIVE,Mortgage,ZAR,6552596.7,360392.82,12.03,24,3020416.91,3532179.79,26-Nov-2024,11/04/2024
160,1328,113,FULLY PAID,Personal Loan,EUR,6425916.51,6939989.83,15.99,60,2244154.55,4181761.96,2020-09-23,2023-12-30
161,1408,115,WRITTEN OFF,Trade Finance / Import,USD,554643.42,554643.42,20.87,18,249382.73,305260.69,12/10/2020,27/06/2023
162,999,111,FULLY PAID,Mortgage,ZAR,17446093.1,959535.12,18.34,60,16963370.49,482722.61,01/02/2020,08/15/2024
163,1003,107,RESTRUCTURED,SME Working Capital,GHS,15964744.78,1053673.16,18.44,60,5993490.25,9971254.53,06/27/2022,06/21/2026
164,263,105,written off,Asset Finance,NGN,15338882.48,9510.11,26.57,36,13613174.73,1725707.75,2022-11-24,22-Sep-2026
165,309,110,Fully Paid,Auto Loan,ZAR,5127345.12,282003.98,4.19,36,4039947.22,1087397.9,15/11/2024,2025-02-08
166,1297,106,Fully Paid,Auto Loan,GHS,4295147.29,283479.72,7.49,60,3322787.86,972359.43,08/09/2020,17/03/2027
167,323,107,defaulted,SME Working Capital,GHS,457146.51,30171.67,23.25,48,242823.75,214322.76,02/03/2020,03/09/2024
168,503,113,fully paid,Education Finance,EUR,7105608.26,7674056.92,22.88,36,5634482.7,1471125.56,23/11/2020,04-Jun-2027
169,1800,108,DEFAULTED,Education Finance,KES,2758302.38,21238.93,18.23,18,596129.44,2162172.94,12/20/2021,09/08/2026
170,1680,109,WRITTEN OFF,SME Working Capital,KES,14925732.54,114928.14,23.27,24,9794884.73,5130847.81,03-Nov-2024,10/05/2023
171,1451,106,pending review,SME Working Capital,GHS,14309233.33,944409.4,12.17,60,4477201.89,9832031.44,2020-12-14,10/23/2027
172,1879,114,fully paid,Education Finance,AED,12993319.73,3534182.97,11.76,48,6693178.77,6300140.96,04/01/2021,25-Mar-2026
173,674,103,PENDING REVIEW,Auto Loan,NGN,4241448.23,2629.7,19.19,12,360410.2,3881038.03,2020-07-24,2027-09-09
174,569,107,RESTRUCTURED,Trade Finance / Import,GHS,2411389.37,159151.7,4.92,36,727978.13,1683411.24,14-Jun-2020,2025-06-21
175,891,111,approved,Agricultural Loan,ZAR,3543786.84,194908.28,7.7,60,776824.56,2766962.28,2023-09-15,06/14/2026
176,465,109,WRITTEN OFF,Auto Loan,KES,12104710.51,93206.27,23.71,60,11631725.98,472984.53,2020-06-09,2024-03-25
177,236,109,fully paid,Mortgage,KES,6429652.56,49508.32,23.02,6,3300334.01,3129318.55,22/10/2020,01/17/2024
178,1818,108,APPROVED,SME Working Capital,KES,5245045.25,40386.85,10.41,18,4373948.58,871096.67,04/22/2020,01/16/2026
179,61,106,restructured,Mortgage,GHS,11217915.72,740382.44,18.2,48,7674593.42,3543322.3,15-Dec-2023,12/11/2026
180,1208,115,DEFAULTED,Auto Loan,USD,17469525.99,17469525.99,12.47,36,7819818.22,9649707.77,22/03/2022,05/08/2025
181,1661,104,approved,Auto Loan,NGN,3469023.57,2150.79,8.56,18,2422566.6,1046456.97,07/13/2024,29/05/2024
182,713,103,restructured,Agricultural Loan,NGN,15047429.33,9329.41,27.55,18,14404112.01,643317.32,09/25/2020,29-Sep-2027
183,972,101,written off,Auto Loan,NGN,2702933.35,1675.82,11.11,36,1969587.78,733345.57,24-Jan-2021,03-Sep-2024
184,622,111,approved,Mortgage,ZAR,2928367.47,161060.21,8.88,6,2211230.11,717137.36,20/06/2021,2025-08-21
185,1433,108,FULLY PAID,Asset Finance,KES,15376997.1,118402.88,5.09,24,2621967.94,12755029.16,10/16/2021,2024-09-13
186,1157,113, Active ,Education Finance,EUR,5653119.41,6105368.96,16.66,36,4084136.3,1568983.11,2022-10-28,06-Apr-2024
187,1068,105,RESTRUCTURED,SME Working Capital,NGN,12642458.57,7838.32,10.06,18,9704777.79,2937680.78,2020-05-19,2025-11-14
188,1565,105,restructured,Education Finance,NGN,17863312.43,11075.25,21.95,18,1900441.55,15962870.88,22/09/2020,2024-12-05
189,1309,103,PENDING REVIEW,Education Finance,NGN,1908932.44,1183.54,20.45,36,1756286.45,152645.99,2021-09-25,28/02/2023
190,1965,102,PENDING REVIEW,Personal Loan,NGN,6852515.23,4248.56,14.29,60,4408898.98,2443616.25,2020-04-04,27/05/2026
191,1961,101,PENDING REVIEW,Asset Finance,NGN,8267957.95,5126.13,20.07,18,3228307.78,5039650.17,05/06/2022,25-Sep-2024
192,1985,108,PENDING REVIEW,Asset Finance,KES,1907879.23,14690.67,26.9,12,1049488.12,858391.11,2021-10-09,2026-11-09
193,544,113,APPROVED,Agricultural Loan,EUR,10735628.83,11594479.14,23.42,36,3891662.2,6843966.63,25-Apr-2022,2026-05-14
194,512,112,active,Asset Finance,GBP,9490634.12,12053105.33,18.29,24,8041725.41,1448908.71,2024-04-22,19/04/2026
195,1125,103,fully paid,Education Finance,NGN,4184829.01,2594.59,13.94,18,2967207.25,1217621.76,2021-05-23,26-Apr-2025
196,368,104,pending review,Agricultural Loan,NGN,18350055.76,11377.03,4.12,6,17190784.28,1159271.48,11/06/2021,30-May-2023
197,1670,114,active,Agricultural Loan,AED,11405393.47,3102267.02,18.63,48,2094034.59,9311358.88,2022-12-28,2025-02-02
198,1164,107,active,SME Working Capital,GHS,2361290.98,155845.2,9.67,12,505609.0,1855681.98,22/12/2024,15-Apr-2025
199,514,108,fully paid,Education Finance,KES,19087914.59,146976.94,20.74,24,9651155.49,9436759.1,23-Dec-2021,04/24/2023
200,1404,111, Active ,Personal Loan,ZAR,17865782.93,982618.06,25.32,36,5278031.13,12587751.8,2022-02-05,2025-12-21
201,853,109,pending review,Agricultural Loan,KES,13537142.07,104235.99,10.52,48,10004924.88,3532217.19,27-Nov-2024,17/07/2025
202,1184,101,pending review,Agricultural Loan,NGN,14598075.25,9050.81,20.61,6,2254540.84,12343534.41,13/09/2021,10/22/2026
203,778,113,RESTRUCTURED,Auto Loan,EUR,7177675.65,7751889.7,23.93,48,5797423.2,1380252.45,15-Aug-2020,03/30/2027
204,1196,109,restructured,Trade Finance / Import,KES,7159442.92,55127.71,21.69,24,111674.92,7047768.0,2024-12-30,2025-12-28
