transaction_id,customer_id,branch_id,raw_transaction_type,raw_channel,raw_transaction_date,raw_transaction_time,amount_local,local_currency,amount_usd,raw_description,reference_code,balance_after_local
71,721,103, Debit ,internet banking,20-Jan-2024,21:02:11,1736977.34,NGN,1076.93,ATM withdrawal,REF000000071,9546832.13
72,1816,110, Credit ,atm,2024-08-13,05:13:08,1645640.47,ZAR,90510.23,Bill payment,REF000000072,8561164.7
73,1975,101,Debit,ATM,10/03/2023,07:33:48,643847.44,NGN,399.19,Standing order,REF000000073,3044760.18
74,1283,109,Debit,Internet Banking,08/03/2023,15:00:33,1949902.59,KES,15014.25,Bill payment,REF000000074,4797769.76
75,370,106, Credit ,atm,09/11/2023,03:27:52,1892676.84,GHS,124916.67,Loan repayment,REF000000075,6495373.35
76,1127,103,Credit,A.T.M,01/14/2023,14:04:23,213865.59,NGN,132.6,Merchant payment,REF000000076,8424658.12
77,664,103,DEBIT,USSD,07/06/2024,17:00:12,888803.62,NGN,551.06,Merchant payment,REF000000077,8879082.9
78,1755,108,CREDIT,USSD,2024-04-18,03:14:50,418125.95,KES,3219.57,ATM withdrawal,REF000000078,5749054.13
79,866,103,Debit,ATM,13-Dec-2023,11:20:19,62831.46,NGN,38.96,Salary payment,REF000000079,3209409.42
80,513,104,Credit,pos,30-Dec-2024,20:32:33,260772.21,NGN,161.68,Cash deposit,REF000000080,7235707.24
81,1456,115,Credit,Internet Banking,2023-09-12,21:35:51,358808.46,USD,358808.46,Fund transfer,REF000000081,580531.18
82,296,107, Credit ,POS Terminal,31-Dec-2025,15:30:37,1950585.09,GHS,128738.62,Cash deposit,REF000000082,4863790.58
83,775,103,credit,POS Terminal,24/03/2024,02:23:27,1540403.93,NGN,955.05,Bill payment,REF000000083,2164432.15
84,74,112,Debit,ATM,2025-07-02,12:26:26,1362285.7,GBP,1730102.84,Loan repayment,REF000000084,2132431.01
85,1973,109, Debit ,*966#,2024-04-22,03:36:50,1973839.33,KES,15198.56,POS purchase,REF000000085,9988997.42
86,1294,114,Debit,POS,11-Nov-2024,23:14:01,1190142.7,AED,323718.81,POS purchase,REF000000086,8410394.19
87,564,107,Debit,ATM,04/27/2023,15:31:39,154809.59,GHS,10217.43,Bill payment,REF000000087,4856968.53
88,1381,114, Credit ,ATM,2024-03-08,13:06:51,1077135.2,AED,292980.77,Salary payment,REF000000088,2868670.41
89,813,102, Debit ,atm,11/25/2025,01:30:09,1612998.66,NGN,1000.06,ATM withdrawal,REF000000089,4488210.05
90,1510,101,Debit,POS,09/03/2024,09:27:35,540397.72,NGN,335.05,Airtime top-up,REF000000090,3602497.01
91,1720,103,CREDIT,POS Terminal,2024-10-19,13:21:53,269236.14,NGN,166.93,Bill payment,REF000000091,3846515.32
92,1994,115, Credit ,*966#,2025-06-22,04:01:52,900867.43,USD,900867.43,Salary payment,REF000000092,6214361.78
93,1042,111,credit,internet banking,02/16/2023,10:44:44,641982.31,ZAR,35309.03,Standing order,REF000000093,7535540.6
94,1721,111,Debit,*966#,28-Apr-2025,08:20:27,653620.6,ZAR,35949.13,Cash deposit,REF000000094,7798128.92
95,1799,112,DEBIT,ATM,04-Jul-2025,09:11:02,1939480.94,GBP,2463140.79,Fund transfer,REF000000095,9041936.41
96,1947,110,CREDIT,internet banking,27-Jan-2025,13:30:51,1973886.5,ZAR,108563.76,Airtime top-up,REF000000096,485983.78
97,1592,101,Credit,ATM,17/03/2025,10:38:47,1193706.82,NGN,740.1,Salary payment,REF000000097,716471.57
98,1928,112,CREDIT,Mobile App,2024-06-11,09:55:02,698554.63,GBP,887164.38,Merchant payment,REF000000098,192029.47
99,155,105,CREDIT,ATM,05-Jun-2024,13:22:19,1038534.83,NGN,643.89,Salary payment,REF000000099,402962.72
100,646,101,debit,pos,2023-03-18,09:45:26,510112.6,NGN,316.27,Standing order,REF000000100,4620158.14
101,1155,106, Credit ,POS Terminal,08-Mar-2024,23:34:51,881719.3,GHS,58193.47,Loan repayment,REF000000101,190247.82
102,1951,113, Debit ,ATM,18-Oct-2023,12:27:08,632853.57,EUR,683481.86,POS purchase,REF000000102,9661926.55
103,1159,111,credit,atm,22/03/2023,19:21:47,158700.19,ZAR,8728.51,POS purchase,REF000000103,7926405.24
104,842,101,credit,POS Terminal,12/23/2024,21:42:23,120226.65,NGN,74.54,Standing order,REF000000104,3299681.21
105,52,110,credit,Branch,09/23/2024,03:21:01,878665.29,ZAR,48326.59,Merchant payment,REF000000105,2567971.29
106,1383,110, Debit ,POS,05-Jun-2025,15:51:30,1713584.58,ZAR,94247.15,POS purchase,REF000000106,6258808.74
107,1506,113, Debit ,mobile app,04/13/2024,22:15:07,1168084.82,EUR,1261531.61,Salary payment,REF000000107,1622451.67
108,676,112,DEBIT,Mobile App,2025-02-08,13:32:16,1841300.33,GBP,2338451.42,Standing order,REF000000108,4194784.14
109,802,111,Credit,atm,10/31/2025,08:43:19,168453.2,ZAR,9264.93,Cash deposit,REF000000109,8947424.71
110,145,105,DEBIT,Branch,06/30/2023,14:40:08,544076.54,NGN,337.33,Merchant payment,REF000000110,9335442.76
111,1305,109,credit,*966#,18/11/2023,23:45:20,1958276.45,KES,15078.73,ATM withdrawal,REF000000111,9154569.71
112,659,114,DEBIT,Mobile App,21-Dec-2025,00:56:00,1149077.78,AED,312549.16,Fund transfer,REF000000112,8507505.89
113,1885,102,DEBIT,Internet Banking,06/06/2024,07:56:50,1160288.85,NGN,719.38,Cash deposit,REF000000113,4943820.28
114,41,115,Debit,Mobile App,09/03/2025,15:25:42,1277380.08,USD,1277380.08,ATM withdrawal,REF000000114,8537152.05
115,1028,111, Credit ,POS Terminal,26/02/2024,16:02:20,496838.78,ZAR,27326.13,POS purchase,REF000000115,5629465.19
116,1866,115,Debit,pos,2025-07-19,13:08:54,1076688.53,USD,1076688.53,Merchant payment,REF000000116,4352735.59
117,1002,109,credit,internet banking,04/06/2025,22:25:48,115214.87,KES,887.15,POS purchase,REF000000117,6014281.38
118,1949,113,Credit,A.T.M,01/17/2025,12:53:16,252796.07,EUR,273019.76,Merchant payment,REF000000118,4352849.06
119,1271,110,Debit,POS Terminal,2025-10-13,16:50:22,841210.32,ZAR,46266.57,Standing order,REF000000119,1168642.82
120,1373,105, Debit ,mobile app,06/02/2025,23:50:13,1593108.86,NGN,987.73,Salary payment,REF000000120,6616077.69
121,1867,114,credit,pos,22/07/2024,15:30:58,1649854.0,AED,448760.29,Salary payment,REF000000121,3555020.02
122,986,112,credit,POS Terminal,2025-08-16,04:23:47,37034.29,GBP,47033.55,Fund transfer,REF000000122,9627148.34
123,565,113,debit,mobile app,2024-07-31,20:53:50,1242010.14,EUR,1341370.95,Fund transfer,REF000000123,1322722.28
124,853,109,DEBIT,POS Terminal,19/03/2024,08:58:17,1867618.54,KES,14380.66,Fund transfer,REF000000124,7325896.16
125,1550,111,debit,*966#,27/08/2025,21:26:13,484430.58,ZAR,26643.68,ATM withdrawal,REF000000125,9715621.61
126,8,102,CREDIT,USSD,2024-11-14,18:57:21,1904052.52,NGN,1180.51,Merchant payment,REF000000126,1606324.87
127,1601,107, Credit ,mobile app,08/20/2025,16:40:45,1391194.51,GHS,91818.84,Loan repayment,REF000000127,5718274.25
128,1467,110,DEBIT,,05/11/2025,01:45:35,1162346.84,ZAR,63929.08,Airtime top-up,REF000000128,7354075.43
129,1411,104,CREDIT,Branch,23/05/2025,00:15:26,1850287.61,NGN,1147.18,Airtime top-up,REF000000129,7778903.39
130,955,105,DEBIT,POS,19-Sep-2024,17:11:41,1808984.94,NGN,1121.57,Fund transfer,REF000000130,462786.48
131,1053,101,Debit,USSD,2025-03-26,13:22:14,956658.86,NGN,593.13,Cash deposit,REF000000131,2561228.59
132,613,103,credit,Mobile App,2025-10-02,13:18:36,1989953.99,NGN,1233.77,Bill payment,REF000000132,9448495.88
133,940,112, Credit ,POS Terminal,2024-11-14,21:30:51,347613.05,GBP,441468.57,Salary payment,REF000000133,991985.94
134,1327,114,Debit,internet banking,01-Jun-2023,13:39:30,1060559.71,AED,288472.24,Cash deposit,REF000000134,1420096.02
135,116,105,DEBIT,,2025-09-06,00:33:04,393754.81,NGN,244.13,Standing order,REF000000135,184808.83
136,457,103, Credit ,Branch,10-Sep-2025,07:11:53,1974458.23,NGN,1224.16,ATM withdrawal,REF000000136,6235554.39
137,213,111,debit,internet banking,2023-01-08,22:24:43,1154648.05,ZAR,63505.64,Standing order,REF000000137,1179111.86
138,1410,106,credit,A.T.M,24-Dec-2023,13:57:16,79333.15,GHS,5235.99,Cash deposit,REF000000138,1557741.96
139,1012,107,credit,A.T.M,13-Jul-2023,13:58:22,1180451.89,GHS,77909.82,Airtime top-up,REF000000139,275918.58
140,409,112, Debit ,USSD,2024-04-17,11:38:24,1967735.53,GBP,2499024.12,Standing order,REF000000140,2538826.2
141,475,115,debit,,08/17/2024,17:43:13,1442161.05,USD,1442161.05,ATM withdrawal,REF000000141,8866261.99
142,1158,109,Credit,pos,22-Oct-2025,12:15:30,1439152.71,KES,11081.48,Cash deposit,REF000000142,6299542.86
143,713,103,Debit,mobile app,04/20/2023,00:52:46,359031.58,NGN,222.6,Airtime top-up,REF000000143,6838160.9
144,171,103,debit,POS Terminal,07/18/2025,02:25:10,715821.12,NGN,443.81,Bill payment,REF000000144,1580246.56
145,972,101,Credit,*966#,26-Oct-2023,20:40:19,1351309.34,NGN,837.81,Merchant payment,REF000000145,1436686.29
146,1221,101,DEBIT,,02/08/2025,18:56:15,1467736.73,NGN,910.0,Standing order,REF000000146,793502.39
147,374,112,DEBIT,mobile app,14/12/2025,14:10:32,975442.07,GBP,1238811.43,Cash deposit,REF000000147,3836115.28
148,1348,109, Credit ,internet banking,2023-06-20,09:01:28,759109.89,KES,5845.15,Loan repayment,REF000000148,8662134.59
149,1731,105,debit,mobile app,19-Feb-2025,05:53:47,563756.23,NGN,349.53,Bill payment,REF000000149,744012.0
150,1122,110,CREDIT,mobile app,04/13/2023,00:18:01,528113.07,ZAR,29046.22,POS purchase,REF000000150,5668221.54
151,292,111, Credit ,Mobile App,07/27/2024,22:15:29,112930.08,ZAR,6211.15,Fund transfer,REF000000151,4378589.78
152,217,114,credit,internet banking,19/08/2024,07:51:22,636041.39,AED,173003.26,Bill payment,REF000000152,3700945.49
153,1967,101,DEBIT,POS Terminal,2023-05-10,00:56:07,1438692.3,NGN,891.99,Loan repayment,REF000000153,4429760.64
154,497,115,credit,USSD,07/07/2023,15:03:44,93119.84,USD,93119.84,Merchant payment,REF000000154,2753044.61
155,413,111,Credit,ATM,08/07/2023,11:26:01,1603918.39,ZAR,88215.51,Airtime top-up,REF000000155,9437255.75
156,1542,115,Debit,Branch,06/30/2025,14:13:15,1667718.97,USD,1667718.97,Salary payment,REF000000156,835190.33
157,1931,106, Debit ,atm,2023-01-12,21:56:18,1131578.63,GHS,74684.19,POS purchase,REF000000157,8271033.73
158,1207,112,CREDIT,Mobile App,11/20/2023,23:43:57,522523.64,GBP,663605.02,POS purchase,REF000000158,2087952.19
159,835,103,CREDIT,atm,16-Nov-2024,22:37:27,1853113.73,NGN,1148.93,Fund transfer,REF000000159,8551870.58
160,598,111,Debit,A.T.M,26-May-2024,17:46:02,1669161.68,ZAR,91803.89,POS purchase,REF000000160,8300672.96
161,1553,106,debit,*966#,2023-03-05,09:21:03,166269.62,GHS,10973.79,Bill payment,REF000000161,9227316.85
162,1546,112, Debit ,ATM,19-Aug-2023,19:58:57,1924198.43,GBP,2443732.01,Airtime top-up,REF000000162,4819708.39
163,1315,112,CREDIT,,26-Jan-2024,15:31:38,874324.2,GBP,1110391.73,Fund transfer,REF000000163,2567428.41
164,1095,113,DEBIT,atm,11/11/2024,04:20:30,700200.09,EUR,756216.1,Airtime top-up,REF000000164,3096843.26
165,1887,102, Debit ,Branch,2024-06-18,12:37:56,527272.14,NGN,326.91,POS purchase,REF000000165,7803823.55
166,1659,105, Credit ,mobile app,04-Oct-2025,08:56:06,1477590.82,NGN,916.11,Merchant payment,REF000000166,1094592.63
167,252,102,CREDIT,A.T.M,2024-09-06,12:03:23,1929036.91,NGN,1196.0,Standing order,REF000000167,4992661.93
168,1713,112,Debit,*966#,07-Nov-2024,15:02:35,341222.6,GBP,433352.7,Cash deposit,REF000000168,3814782.75
169,716,107,DEBIT,pos,06-Apr-2023,08:46:18,183271.38,GHS,12095.91,Airtime top-up,REF000000169,6241687.74
170,576,108,CREDIT,*966#,24/10/2023,15:50:40,38055.24,KES,293.03,Fund transfer,REF000000170,8480642.1
171,140,111, Debit ,Branch,2024-11-03,07:28:42,1023839.91,ZAR,56311.2,Airtime top-up,REF000000171,4107659.67
172,556,110,credit,pos,2025-06-28,09:09:16,126005.5,ZAR,6930.3,Airtime top-up,REF000000172,8741101.31
173,13,107,CREDIT,ATM,30/06/2025,21:34:05,878557.4,GHS,57984.79,Loan repayment,REF000000173,5349212.65
174,1965,102,Credit,internet banking,06/26/2024,13:23:36,945079.37,NGN,585.95,Merchant payment,REF000000174,3914947.62
175,1609,102,credit,POS Terminal,2023-08-03,10:16:07,1731160.3,NGN,1073.32,Salary payment,REF000000175,293931.76
176,1079,107,debit,Branch,2025-06-04,02:44:53,1741484.58,GHS,114937.98,POS purchase,REF000000176,7103877.46
177,1175,103, Credit ,Internet Banking,2023-01-13,14:58:30,1107417.18,NGN,686.6,ATM withdrawal,REF000000177,9739212.5
178,796,107,Debit,mobile app,24/07/2025,03:33:40,856074.51,GHS,56500.92,Salary payment,REF000000178,4335252.74
179,1065,104, Credit ,Internet Banking,2023-09-26,19:46:10,1596862.08,NGN,990.05,Bill payment,REF000000179,2994629.59
180,1885,102, Credit ,A.T.M,29-Aug-2023,06:00:40,1183944.08,NGN,734.05,Fund transfer,REF000000180,1585244.74
181,384,110,Debit,pos,14/01/2025,17:14:12,845937.92,ZAR,46526.59,Salary payment,REF000000181,8953176.86
182,1480,106,DEBIT,Branch,07/29/2023,21:49:02,690912.41,GHS,45600.22,ATM withdrawal,REF000000182,6881049.65
183,1373,105,debit,Branch,2025-03-11,02:11:42,1548529.39,NGN,960.09,Loan repayment,REF000000183,7976175.45
184,132,104,CREDIT,atm,12/25/2025,13:06:47,29607.68,NGN,18.36,Fund transfer,REF000000184,4909400.94
185,1437,112,CREDIT,*966#,2023-03-20,12:55:41,337220.86,GBP,428270.49,Loan repayment,REF000000185,7182980.44
186,1002,109,credit,POS Terminal,05/08/2023,11:59:21,1238300.42,KES,9534.91,POS purchase,REF000000186,3914858.97
187,1960,101, Debit ,Branch,2025-02-14,13:45:26,303771.07,NGN,188.34,Fund transfer,REF000000187,5417333.93
188,869,111, Debit ,Internet Banking,30/01/2024,01:08:49,719810.39,ZAR,39589.57,Merchant payment,REF000000188,1880887.32
189,314,115,CREDIT,Branch,05/05/2023,05:20:55,552177.61,USD,552177.61,Cash deposit,REF000000189,9941706.08
190,1991,106,Debit,,10/02/2023,19:17:01,1225257.54,GHS,80867.0,Bill payment,REF000000190,8223746.29
191,1974,101,DEBIT,A.T.M,2025-10-16,17:58:12,1272180.6,NGN,788.75,Salary payment,REF000000191,9822430.72
192,1399,104,DEBIT,POS,10/01/2023,12:20:34,586099.74,NGN,363.38,Standing order,REF000000192,2315153.14
193,61,106,debit,,12-Jan-2023,13:03:14,1403274.89,GHS,92616.14,Loan repayment,REF000000193,14117.35
194,1166,105,Credit,mobile app,2025-10-13,12:17:36,1724474.77,NGN,1069.17,Fund transfer,REF000000194,6238564.09
195,12,109,debit,*966#,05-Aug-2024,14:56:39,1955066.03,KES,15054.01,Cash deposit,REF000000195,8214531.76
196,126,101,CREDIT,atm,22/06/2024,00:08:31,1309879.94,NGN,812.13,Merchant payment,REF000000196,4255102.93
197,808,108,CREDIT,,08/21/2023,00:43:49,96006.27,KES,739.25,POS purchase,REF000000197,8950336.99
198,1194,101,CREDIT,Internet Banking,02/11/2024,10:19:30,419897.02,NGN,260.34,ATM withdrawal,REF000000198,1800316.35
199,676,112,CREDIT,mobile app,19/02/2023,05:32:10,1002996.39,GBP,1273805.42,Airtime top-up,REF000000199,3445399.15
200,492,111,debit,A.T.M,2024-01-12,11:44:08,1924131.34,ZAR,105827.22,Fund transfer,REF000000200,8422275.5
201,1958,114,credit,A.T.M,2023-04-25,06:21:10,506157.63,AED,137674.88,Merchant payment,REF000000201,5529024.52
202,1036,103,credit,Internet Banking,2024-12-08,23:23:07,416924.15,NGN,258.49,ATM withdrawal,REF000000202,878844.78
203,56,103,CREDIT,mobile app,2025-01-04,09:06:08,44620.48,NGN,27.66,ATM withdrawal,REF000000203,6319871.08
204,92,106,Credit,POS,16-Jul-2024,02:21:27,1161164.2,GHS,76636.84,Airtime top-up,REF000000204,4728746.27
205,1528,106,DEBIT,mobile app,25/10/2023,17:36:57,1834786.54,GHS,121095.91,Bill payment,REF000000205,5109772.36
206,1829,104, Credit ,,2024-02-20,18:59:09,1348933.22,NGN,836.34,Bill payment,REF000000206,6027700.69
207,822,109,Debit,A.T.M,15-Apr-2023,13:12:26,1622491.51,KES,12493.18,Airtime top-up,REF000000207,3017393.18
208,1775,101,credit,atm,09/10/2023,15:13:39,1690713.68,NGN,1048.24,Fund transfer,REF000000208,5352487.37
209,1777,114,Credit,Mobile App,05/23/2023,13:24:37,574685.6,AED,156314.48,ATM withdrawal,REF000000209,2076415.34
210,938,114,debit,*966#,12/17/2024,02:42:19,1802304.51,AED,490226.83,Standing order,REF000000210,9749534.87
211,617,103,debit,A.T.M,02/02/2025,17:48:07,736635.72,NGN,456.71,ATM withdrawal,REF000000211,3815360.7
212,513,104, Debit ,Branch,09/08/2023,19:35:37,958106.76,NGN,594.03,Bill payment,REF000000212,2399294.64
213,1470,112,Credit,POS,04/05/2023,06:00:17,311731.22,GBP,395898.65,Bill payment,REF000000213,6915327.1
214,1148,107, Credit ,POS Terminal,2024-05-05,21:36:24,8632.64,GHS,569.75,Salary payment,REF000000214,6106212.77
215,1558,105,DEBIT,POS,11/11/2023,00:16:00,48989.5,NGN,30.37,Cash deposit,REF000000215,9169151.54
216,831,109, Credit ,Mobile App,28-May-2025,14:02:51,999539.39,KES,7696.45,Salary payment,REF000000216,7382482.71
217,1016,106, Debit ,POS,06/10/2024,23:32:38,837220.65,GHS,55256.56,Loan repayment,REF000000217,5035152.24
218,781,104, Credit ,POS,25/02/2024,06:33:03,1686348.87,NGN,1045.54,Bill payment,REF000000218,8829395.34
219,95,104, Credit ,pos,2025-07-31,02:38:51,1986344.36,NGN,1231.53,Merchant payment,REF000000219,5000351.83
220,1381,114, Credit ,A.T.M,13-Aug-2025,03:33:44,1844422.82,AED,501683.01,Salary payment,REF000000220,5634871.04
221,1442,105, Credit ,Internet Banking,04/27/2025,12:29:33,1869041.78,NGN,1158.81,POS purchase,REF000000221,8793715.06
222,1192,102, Debit ,,2025-03-04,00:24:49,1768487.68,NGN,1096.46,Cash deposit,REF000000222,6809645.84
223,1145,108, Credit ,POS Terminal,05/10/2023,15:37:03,623500.07,KES,4800.95,Airtime top-up,REF000000223,5443439.11
